qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,filter_predicate,filter_value,time_span,category,execution_time
12,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,1.0,year,min,>,310,5,changing_value,1.0017752647399902
13,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,1.0,year,min,<,310,5,changing_value,0.043967247009277344
14,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,1.0,year,max,>,310,5,changing_value,0.05124354362487793
15,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,1.0,year,max,<,310,5,changing_value,0.0414423942565918
16,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,1.0,year,mean,>,310,5,changing_value,0.05130815505981445
17,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,1.0,year,mean,<,310,5,changing_value,0.04149580001831055
18,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,1.0,year,min,>,310,5,changing_value,0.04123950004577637
19,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,1.0,year,min,<,310,5,changing_value,0.0404665470123291
20,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,1.0,year,max,>,310,5,changing_value,0.04393720626831055
21,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,1.0,year,max,<,310,5,changing_value,0.04225516319274902
22,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,1.0,year,mean,>,310,5,changing_value,0.04378032684326172
23,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,1.0,year,mean,<,310,5,changing_value,0.04217410087585449
12,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,1.0,hour,min,>,310,5,changing_value,0.12235689163208008
13,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,1.0,hour,min,<,310,5,changing_value,0.12031149864196777
14,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,1.0,hour,max,>,310,5,changing_value,0.12032771110534668
15,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,1.0,hour,max,<,310,5,changing_value,0.12142682075500488
16,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,1.0,hour,mean,>,310,5,changing_value,0.12199711799621582
17,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,1.0,hour,mean,<,310,5,changing_value,0.12098264694213867
18,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,1.0,hour,min,>,310,5,changing_value,0.12132573127746582
19,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,1.0,hour,min,<,310,5,changing_value,0.12155795097351074
20,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,1.0,hour,max,>,310,5,changing_value,0.12083935737609863
21,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,1.0,hour,max,<,310,5,changing_value,0.12026715278625488
22,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,1.0,hour,mean,>,310,5,changing_value,0.12113523483276367
23,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,1.0,hour,mean,<,310,5,changing_value,0.1199193000793457
12,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,year,min,>,310,5,changing_value,0.04193878173828125
13,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,0.25,year,min,<,310,5,changing_value,0.04217791557312012
14,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,year,max,>,310,5,changing_value,0.042374372482299805
15,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,0.25,year,max,<,310,5,changing_value,0.042061805725097656
16,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,0.25,year,mean,>,310,5,changing_value,0.04249119758605957
17,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,year,mean,<,310,5,changing_value,0.04215884208679199
18,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,0.25,year,min,>,310,5,changing_value,0.04248976707458496
19,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,0.25,year,min,<,310,5,changing_value,0.04219460487365723
20,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,year,max,>,310,5,changing_value,0.04246163368225098
21,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,year,max,<,310,5,changing_value,0.042276859283447266
22,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,year,mean,>,310,5,changing_value,0.04259920120239258
23,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,year,mean,<,310,5,changing_value,0.04245638847351074
