qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,filter_predicate,filter_value,time_span,category,execution_time
0,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,0.25,hour,min,>,205,5,changing_value,1.0369915962219238
1,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,0.25,hour,min,<,205,5,changing_value,0.16170048713684082
2,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,hour,max,>,205,5,changing_value,0.15514516830444336
3,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,0.25,hour,max,<,205,5,changing_value,0.15753936767578125
4,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,0.25,hour,mean,>,205,5,changing_value,0.15800929069519043
5,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,hour,mean,<,205,5,changing_value,0.1573796272277832
6,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,hour,min,>,240,5,changing_value,10.192609071731567
7,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,0.25,hour,min,<,240,5,changing_value,7.56278657913208
8,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,0.25,hour,max,>,240,5,changing_value,7.653486013412476
9,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,0.25,hour,max,<,240,5,changing_value,5.836735963821411
10,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,hour,mean,>,240,5,changing_value,7.6523356437683105
11,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,0.25,hour,mean,<,240,5,changing_value,6.032120704650879
12,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,hour,min,>,275,5,changing_value,6.736600399017334
13,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,0.25,hour,min,<,275,5,changing_value,6.791034460067749
14,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,hour,max,>,275,5,changing_value,6.255064487457275
15,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,0.25,hour,max,<,275,5,changing_value,6.993194103240967
16,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,0.25,hour,mean,>,275,5,changing_value,6.649839162826538
17,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,hour,mean,<,275,5,changing_value,6.68573522567749
18,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,0.25,hour,min,>,310,5,changing_value,0.1416618824005127
19,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,85,-70,-10,0.25,hour,min,<,310,5,changing_value,0.14303207397460938
20,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,hour,max,>,310,5,changing_value,0.1443798542022705
21,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,hour,max,<,310,5,changing_value,0.14472031593322754
22,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,0.25,hour,mean,>,310,5,changing_value,0.14436912536621094
23,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,85,-70,-10,0.25,hour,mean,<,310,5,changing_value,0.14444351196289062
