qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_series_aggregation_method,filter_predicate,filter_value,time_span,category,execution_time
0,2m_temperature,2010-01-01 00:00:00,2010-12-31 23:00:00,60,85,-75,-10,0.25,hour,min,min,>,310,1.0,changing_time,0.9332616329193115
1,2m_temperature,2010-01-01 00:00:00,2010-12-31 23:00:00,60,85,-75,-10,0.25,hour,min,min,<,310,1.0,changing_time,0.12050771713256836
2,2m_temperature,2010-01-01 00:00:00,2010-12-31 23:00:00,60,85,-75,-10,0.25,hour,max,max,>,310,1.0,changing_time,0.12184023857116699
3,2m_temperature,2010-01-01 00:00:00,2010-12-31 23:00:00,60,85,-75,-10,0.25,hour,max,max,<,310,1.0,changing_time,0.1226954460144043
4,2m_temperature,2010-01-01 00:00:00,2010-12-31 23:00:00,60,85,-75,-10,0.25,hour,mean,mean,>,310,1.0,changing_time,0.12227559089660645
5,2m_temperature,2010-01-01 00:00:00,2010-12-31 23:00:00,60,85,-75,-10,0.25,hour,mean,mean,<,310,1.0,changing_time,0.12200164794921875
6,2m_temperature,2011-01-01 00:00:00,2013-06-30 23:00:00,60,85,-75,-10,0.25,hour,min,min,>,310,2.5,changing_time,0.2900581359863281
7,2m_temperature,2011-01-01 00:00:00,2013-06-30 23:00:00,60,85,-75,-10,0.25,hour,min,min,<,310,2.5,changing_time,0.2822089195251465
8,2m_temperature,2011-01-01 00:00:00,2013-06-30 23:00:00,60,85,-75,-10,0.25,hour,max,max,>,310,2.5,changing_time,0.2820863723754883
9,2m_temperature,2011-01-01 00:00:00,2013-06-30 23:00:00,60,85,-75,-10,0.25,hour,max,max,<,310,2.5,changing_time,0.28137969970703125
10,2m_temperature,2011-01-01 00:00:00,2013-06-30 23:00:00,60,85,-75,-10,0.25,hour,mean,mean,>,310,2.5,changing_time,0.28206467628479004
11,2m_temperature,2011-01-01 00:00:00,2013-06-30 23:00:00,60,85,-75,-10,0.25,hour,mean,mean,<,310,2.5,changing_time,0.2818591594696045
