qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_span,area_persent,category,execution_time
0,2m_temperature,2015-01-01 00:00:00,2015-12-31 23:00:00,17,42,-19,41,0.25,hour,min,1.0,100,changing_time,36.56409955024719
1,2m_temperature,2022-01-01 00:00:00,2022-12-31 23:00:00,61,86,-30,30,0.25,hour,max,1.0,100,changing_time,36.609594106674194
2,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,-21,4,-158,-98,0.25,hour,mean,1.0,100,changing_time,39.894808292388916
3,2m_temperature,2017-01-01 00:00:00,2017-12-31 23:00:00,51,76,48,108,0.25,hour,min,1.0,100,changing_time,40.06246852874756
4,2m_temperature,2015-01-01 00:00:00,2015-12-31 23:00:00,-67,-42,71,131,0.25,hour,max,1.0,100,changing_time,39.98729991912842
5,2m_temperature,2021-01-01 00:00:00,2021-12-31 23:00:00,-89,-64,-136,-76,0.25,hour,mean,1.0,100,changing_time,41.09509515762329
6,2m_temperature,2022-01-01 00:00:00,2022-12-31 23:00:00,3,28,-124,-64,0.25,hour,min,1.0,100,changing_time,36.66101384162903
7,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,-22,3,-113,-53,0.25,hour,max,1.0,100,changing_time,38.772337675094604
8,2m_temperature,2020-01-01 00:00:00,2020-12-31 23:00:00,23,48,-165,-105,0.25,hour,mean,1.0,100,changing_time,43.24485921859741
9,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,13,38,-10,50,0.25,hour,min,2.5,100,changing_time,50.881848096847534
10,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,-5,20,-162,-102,0.25,hour,max,2.5,100,changing_time,43.795045375823975
11,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,-19,6,71,131,0.25,hour,mean,2.5,100,changing_time,52.297602891922
12,2m_temperature,2015-01-01 00:00:00,2017-06-30 23:00:00,-64,-39,89,149,0.25,hour,min,2.5,100,changing_time,43.64733052253723
13,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,-51,-26,97,157,0.25,hour,max,2.5,100,changing_time,52.415032386779785
14,2m_temperature,2015-01-01 00:00:00,2017-06-30 23:00:00,-41,-16,-86,-26,0.25,hour,mean,2.5,100,changing_time,45.55288100242615
15,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,-50,-25,-70,-10,0.25,hour,min,2.5,100,changing_time,49.13413071632385
16,2m_temperature,2018-01-01 00:00:00,2020-06-30 23:00:00,-10,15,13,73,0.25,hour,max,2.5,100,changing_time,44.934558629989624
17,2m_temperature,2017-01-01 00:00:00,2019-06-30 23:00:00,43,68,-63,-3,0.25,hour,mean,2.5,100,changing_time,42.729820251464844
18,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-41,-16,-104,-44,0.25,hour,min,5.0,100,changing_time,50.77393102645874
19,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,58,83,-97,-37,0.25,hour,max,5.0,100,changing_time,49.254268169403076
20,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,-63,-38,-80,-20,0.25,hour,mean,5.0,100,changing_time,52.71348285675049
21,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,24,49,-150,-90,0.25,hour,min,5.0,100,changing_time,56.788946866989136
22,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,15,40,-21,39,0.25,hour,max,5.0,100,changing_time,56.384132385253906
23,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,-25,0,-155,-95,0.25,hour,mean,5.0,100,changing_time,56.649272441864014
24,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,-76,-51,-54,6,0.25,hour,min,5.0,100,changing_time,58.00285267829895
25,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,-70,-45,-55,5,0.25,hour,max,5.0,100,changing_time,42.708128213882446
26,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-19,6,38,98,0.25,hour,mean,5.0,100,changing_time,56.528523445129395
