qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_span,area_persent,category,execution_time
0,2m_temperature,2015-01-01 00:00:00,2015-12-31 23:00:00,17,42,-19,41,0.25,hour,min,1.0,100,changing_time,20.585933685302734
1,2m_temperature,2012-01-01 00:00:00,2012-12-31 23:00:00,61,86,-30,30,0.25,hour,max,1.0,100,changing_time,18.905315160751343
2,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,-21,4,-158,-98,0.25,hour,mean,1.0,100,changing_time,27.589903831481934
3,2m_temperature,2007-01-01 00:00:00,2007-12-31 23:00:00,51,76,48,108,0.25,hour,min,1.0,100,changing_time,24.032418489456177
4,2m_temperature,2005-01-01 00:00:00,2005-12-31 23:00:00,-67,-42,71,131,0.25,hour,max,1.0,100,changing_time,24.39487862586975
5,2m_temperature,2011-01-01 00:00:00,2011-12-31 23:00:00,-89,-64,-136,-76,0.25,hour,mean,1.0,100,changing_time,29.167011260986328
6,2m_temperature,2012-01-01 00:00:00,2012-12-31 23:00:00,3,28,-124,-64,0.25,hour,min,1.0,100,changing_time,24.147392988204956
7,2m_temperature,2006-01-01 00:00:00,2006-12-31 23:00:00,-22,3,-113,-53,0.25,hour,max,1.0,100,changing_time,16.674519300460815
8,2m_temperature,2020-01-01 00:00:00,2020-12-31 23:00:00,23,48,-165,-105,0.25,hour,mean,1.0,100,changing_time,27.503568172454834
9,2m_temperature,2009-01-01 00:00:00,2011-06-30 23:00:00,13,38,-10,50,0.25,hour,min,2.5,100,changing_time,56.0905020236969
10,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,-5,20,-162,-102,0.25,hour,max,2.5,100,changing_time,45.59442687034607
11,2m_temperature,2009-01-01 00:00:00,2011-06-30 23:00:00,-19,6,71,131,0.25,hour,mean,2.5,100,changing_time,48.44543528556824
12,2m_temperature,2015-01-01 00:00:00,2017-06-30 23:00:00,-64,-39,89,149,0.25,hour,min,2.5,100,changing_time,58.354220390319824
13,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,-51,-26,97,157,0.25,hour,max,2.5,100,changing_time,62.036866903305054
14,2m_temperature,2015-01-01 00:00:00,2017-06-30 23:00:00,-41,-16,-86,-26,0.25,hour,mean,2.5,100,changing_time,42.31723952293396
15,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,-50,-25,-70,-10,0.25,hour,min,2.5,100,changing_time,13.596788167953491
16,2m_temperature,2008-01-01 00:00:00,2010-06-30 23:00:00,-10,15,13,73,0.25,hour,max,2.5,100,changing_time,31.02452301979065
17,2m_temperature,2017-01-01 00:00:00,2019-06-30 23:00:00,43,68,-63,-3,0.25,hour,mean,2.5,100,changing_time,62.50245761871338
18,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-41,-16,-104,-44,0.25,hour,min,5.0,100,changing_time,77.41031265258789
19,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,58,83,-97,-37,0.25,hour,max,5.0,100,changing_time,103.27999353408813
20,2m_temperature,2008-01-01 00:00:00,2012-12-31 23:00:00,-63,-38,-80,-20,0.25,hour,mean,5.0,100,changing_time,126.73328852653503
21,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,24,49,-150,-90,0.25,hour,min,5.0,100,changing_time,81.73781847953796
22,2m_temperature,2005-01-01 00:00:00,2009-12-31 23:00:00,15,40,-21,39,0.25,hour,max,5.0,100,changing_time,114.45330333709717
23,2m_temperature,2009-01-01 00:00:00,2013-12-31 23:00:00,-25,0,-155,-95,0.25,hour,mean,5.0,100,changing_time,114.00084209442139
24,2m_temperature,2013-01-01 00:00:00,2017-12-31 23:00:00,-76,-51,-54,6,0.25,hour,min,5.0,100,changing_time,119.34947347640991
25,2m_temperature,2008-01-01 00:00:00,2012-12-31 23:00:00,-70,-45,-55,5,0.25,hour,max,5.0,100,changing_time,117.06579732894897
26,2m_temperature,2011-01-01 00:00:00,2015-12-31 23:00:00,-19,6,38,98,0.25,hour,mean,5.0,100,changing_time,82.83988666534424
27,2m_temperature,2006-01-01 00:00:00,2015-12-31 23:00:00,25,50,-93,-33,0.25,hour,min,10.0,100,changing_time,231.72931480407715
28,2m_temperature,2009-01-01 00:00:00,2018-12-31 23:00:00,19,44,16,76,0.25,hour,max,10.0,100,changing_time,97.62086844444275
29,2m_temperature,2010-01-01 00:00:00,2019-12-31 23:00:00,-55,-30,-123,-63,0.25,hour,mean,10.0,100,changing_time,243.84250569343567
30,2m_temperature,2005-01-01 00:00:00,2014-12-31 23:00:00,-1,24,19,79,0.25,hour,min,10.0,100,changing_time,223.35866260528564
31,2m_temperature,2007-01-01 00:00:00,2016-12-31 23:00:00,-55,-30,20,80,0.25,hour,max,10.0,100,changing_time,208.88574838638306
32,2m_temperature,2005-01-01 00:00:00,2014-12-31 23:00:00,-10,15,-164,-104,0.25,hour,mean,10.0,100,changing_time,189.6768491268158
33,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,46,71,112,172,0.25,hour,min,10.0,100,changing_time,235.71648907661438
34,2m_temperature,2006-01-01 00:00:00,2015-12-31 23:00:00,-84,-59,-48,12,0.25,hour,max,10.0,100,changing_time,235.69988894462585
35,2m_temperature,2009-01-01 00:00:00,2018-12-31 23:00:00,-66,-41,-104,-44,0.25,hour,mean,10.0,100,changing_time,195.6305193901062
