qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_span,area_persent,category
0,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,0,20,73,123,1.0,hour,min,1.0,100,changing_time
1,2m_temperature,2021-01-01 00:00:00,2021-12-31 23:00:00,0,20,73,123,1.0,hour,max,1.0,100,changing_time
2,2m_temperature,2017-01-01 00:00:00,2017-12-31 23:00:00,0,20,73,123,1.0,hour,mean,1.0,100,changing_time
3,2m_temperature,2018-01-01 00:00:00,2020-06-30 23:00:00,0,20,73,123,1.0,hour,min,2.5,100,changing_time
4,2m_temperature,2021-01-01 00:00:00,2023-06-30 23:00:00,0,20,73,123,1.0,hour,max,2.5,100,changing_time
5,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,0,20,73,123,1.0,hour,mean,2.5,100,changing_time
6,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,0,20,73,123,1.0,hour,min,5.0,100,changing_time
7,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,0,20,73,123,1.0,hour,max,5.0,100,changing_time
8,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,0,20,73,123,1.0,hour,mean,5.0,100,changing_time
9,2m_temperature,2012-01-01 00:00:00,2021-12-31 23:00:00,0,20,73,123,1.0,hour,min,10.0,100,changing_time
10,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,0,20,73,123,1.0,hour,max,10.0,100,changing_time
11,2m_temperature,2007-01-01 00:00:00,2016-12-31 23:00:00,0,20,73,123,1.0,hour,mean,10.0,100,changing_time
12,2m_temperature,2019-01-01 00:00:00,2019-12-31 23:00:00,0,20,73,123,0.25,year,min,1.0,100,changing_time
13,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,0,20,73,123,0.25,year,max,1.0,100,changing_time
14,2m_temperature,2015-01-01 00:00:00,2015-12-31 23:00:00,0,20,73,123,0.25,year,mean,1.0,100,changing_time
15,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,0,20,73,123,0.25,year,min,2.5,100,changing_time
16,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,0,20,73,123,0.25,year,max,2.5,100,changing_time
17,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,0,20,73,123,0.25,year,mean,2.5,100,changing_time
18,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,0,20,73,123,0.25,year,min,5.0,100,changing_time
19,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,0,20,73,123,0.25,year,max,5.0,100,changing_time
20,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,0,20,73,123,0.25,year,mean,5.0,100,changing_time
21,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,0,20,73,123,0.25,year,min,10.0,100,changing_time
22,2m_temperature,2009-01-01 00:00:00,2018-12-31 23:00:00,0,20,73,123,0.25,year,max,10.0,100,changing_time
23,2m_temperature,2007-01-01 00:00:00,2016-12-31 23:00:00,0,20,73,123,0.25,year,mean,10.0,100,changing_time
24,2m_temperature,2015-01-01 00:00:00,2015-12-31 23:00:00,0,20,73,123,1.0,year,min,1.0,100,changing_time
25,2m_temperature,2020-01-01 00:00:00,2020-12-31 23:00:00,0,20,73,123,1.0,year,max,1.0,100,changing_time
26,2m_temperature,2019-01-01 00:00:00,2019-12-31 23:00:00,0,20,73,123,1.0,year,mean,1.0,100,changing_time
27,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,0,20,73,123,1.0,year,min,2.5,100,changing_time
28,2m_temperature,2021-01-01 00:00:00,2023-06-30 23:00:00,0,20,73,123,1.0,year,max,2.5,100,changing_time
29,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,0,20,73,123,1.0,year,mean,2.5,100,changing_time
30,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,0,20,73,123,1.0,year,min,5.0,100,changing_time
31,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,0,20,73,123,1.0,year,max,5.0,100,changing_time
32,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,0,20,73,123,1.0,year,mean,5.0,100,changing_time
33,2m_temperature,2008-01-01 00:00:00,2017-12-31 23:00:00,0,20,73,123,1.0,year,min,10.0,100,changing_time
34,2m_temperature,2005-01-01 00:00:00,2014-12-31 23:00:00,0,20,73,123,1.0,year,max,10.0,100,changing_time
35,2m_temperature,2009-01-01 00:00:00,2018-12-31 23:00:00,0,20,73,123,1.0,year,mean,10.0,100,changing_time
