qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_span,area_persent,category,query_type,time_series_aggregation_method,filter_predicate,filter_value
0,2m_temperature,2021-01-01 00:00:00,2021-12-31 23:00:00,44,64,-4,46,1.0,hour,min,1.0,100,changing_time,heatmap,,,
1,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,44,64,-4,46,1.0,hour,max,1.0,100,changing_time,heatmap,,,
2,2m_temperature,2014-01-01 00:00:00,2014-12-31 23:00:00,44,64,-4,46,1.0,hour,mean,1.0,100,changing_time,heatmap,,,
3,2m_temperature,2017-01-01 00:00:00,2019-06-30 23:00:00,44,64,-4,46,1.0,hour,min,2.5,100,changing_time,heatmap,,,
4,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,44,64,-4,46,1.0,hour,max,2.5,100,changing_time,heatmap,,,
5,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,44,64,-4,46,1.0,hour,mean,2.5,100,changing_time,heatmap,,,
6,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,44,64,-4,46,1.0,hour,min,5.0,100,changing_time,heatmap,,,
7,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,44,64,-4,46,1.0,hour,max,5.0,100,changing_time,heatmap,,,
8,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,44,64,-4,46,1.0,hour,mean,5.0,100,changing_time,heatmap,,,
9,2m_temperature,2013-01-01 00:00:00,2022-12-31 23:00:00,44,64,-4,46,1.0,hour,min,10.0,100,changing_time,heatmap,,,
10,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,44,64,-4,46,1.0,hour,max,10.0,100,changing_time,heatmap,,,
11,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,44,64,-4,46,1.0,hour,mean,10.0,100,changing_time,heatmap,,,
12,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,60,60,-70,-10,1.0,hour,min,1.0,100,changing_time,find_time,min,>,310.0
13,2m_temperature,2017-01-01 00:00:00,2017-12-31 23:00:00,60,60,-70,-10,1.0,hour,min,1.0,100,changing_time,find_time,min,<,310.0
14,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,60,60,-70,-10,1.0,hour,max,1.0,100,changing_time,find_time,max,>,310.0
15,2m_temperature,2017-01-01 00:00:00,2017-12-31 23:00:00,60,60,-70,-10,1.0,hour,max,1.0,100,changing_time,find_time,max,<,310.0
16,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,1.0,hour,mean,1.0,100,changing_time,find_time,mean,>,310.0
17,2m_temperature,2017-01-01 00:00:00,2017-12-31 23:00:00,60,60,-70,-10,1.0,hour,mean,1.0,100,changing_time,find_time,mean,<,310.0
18,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,60,60,-70,-10,1.0,hour,min,2.5,100,changing_time,find_time,min,>,310.0
19,2m_temperature,2018-01-01 00:00:00,2020-06-30 23:00:00,60,60,-70,-10,1.0,hour,min,2.5,100,changing_time,find_time,min,<,310.0
20,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,60,60,-70,-10,1.0,hour,max,2.5,100,changing_time,find_time,max,>,310.0
21,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,60,60,-70,-10,1.0,hour,max,2.5,100,changing_time,find_time,max,<,310.0
22,2m_temperature,2015-01-01 00:00:00,2017-06-30 23:00:00,60,60,-70,-10,1.0,hour,mean,2.5,100,changing_time,find_time,mean,>,310.0
23,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,60,60,-70,-10,1.0,hour,mean,2.5,100,changing_time,find_time,mean,<,310.0
24,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,60,-70,-10,1.0,hour,min,5.0,100,changing_value,find_time,min,>,205.0
