qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_span,area_persent,category,execution_time
0,2m_temperature,2014-01-01 00:00:00,2014-12-31 23:00:00,36,56,34,84,1.0,hour,min,1.0,100,changing_time,0.8629641532897949
1,2m_temperature,2014-01-01 00:00:00,2014-12-31 23:00:00,36,56,34,84,1.0,hour,max,1.0,100,changing_time,0.05883479118347168
2,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,36,56,34,84,1.0,hour,mean,1.0,100,changing_time,0.059027671813964844
3,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,36,56,34,84,1.0,hour,min,2.5,100,changing_time,0.12558412551879883
4,2m_temperature,2021-01-01 00:00:00,2023-06-30 23:00:00,36,56,34,84,1.0,hour,max,2.5,100,changing_time,0.12890315055847168
5,2m_temperature,2015-01-01 00:00:00,2017-06-30 23:00:00,36,56,34,84,1.0,hour,mean,2.5,100,changing_time,0.13173913955688477
6,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,36,56,34,84,1.0,hour,min,5.0,100,changing_time,0.05702352523803711
7,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,36,56,34,84,1.0,hour,max,5.0,100,changing_time,0.05873918533325195
8,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,36,56,34,84,1.0,hour,mean,5.0,100,changing_time,0.06147170066833496
9,2m_temperature,2006-01-01 00:00:00,2015-12-31 23:00:00,36,56,34,84,1.0,hour,min,10.0,100,changing_time,0.05837845802307129
10,2m_temperature,2012-01-01 00:00:00,2021-12-31 23:00:00,36,56,34,84,1.0,hour,max,10.0,100,changing_time,0.058492422103881836
11,2m_temperature,2005-01-01 00:00:00,2014-12-31 23:00:00,36,56,34,84,1.0,hour,mean,10.0,100,changing_time,0.060236454010009766
12,2m_temperature,2017-01-01 00:00:00,2017-12-31 23:00:00,36,56,34,84,0.25,year,min,1.0,100,changing_time,0.059395790100097656
13,2m_temperature,2015-01-01 00:00:00,2015-12-31 23:00:00,36,56,34,84,0.25,year,max,1.0,100,changing_time,0.06063055992126465
14,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,36,56,34,84,0.25,year,mean,1.0,100,changing_time,0.06138181686401367
15,2m_temperature,2021-01-01 00:00:00,2023-06-30 23:00:00,36,56,34,84,0.25,year,min,2.5,100,changing_time,0.15021944046020508
16,2m_temperature,2020-01-01 00:00:00,2022-06-30 23:00:00,36,56,34,84,0.25,year,max,2.5,100,changing_time,0.1497669219970703
17,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,36,56,34,84,0.25,year,mean,2.5,100,changing_time,0.15104341506958008
18,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,36,56,34,84,0.25,year,min,5.0,100,changing_time,0.07043147087097168
19,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,36,56,34,84,0.25,year,max,5.0,100,changing_time,0.06662368774414062
20,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,36,56,34,84,0.25,year,mean,5.0,100,changing_time,0.06821560859680176
21,2m_temperature,2011-01-01 00:00:00,2020-12-31 23:00:00,36,56,34,84,0.25,year,min,10.0,100,changing_time,0.07525515556335449
22,2m_temperature,2007-01-01 00:00:00,2016-12-31 23:00:00,36,56,34,84,0.25,year,max,10.0,100,changing_time,0.08717894554138184
23,2m_temperature,2006-01-01 00:00:00,2015-12-31 23:00:00,36,56,34,84,0.25,year,mean,10.0,100,changing_time,0.08125972747802734
24,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,36,56,34,84,1.0,year,min,1.0,100,changing_time,0.05607008934020996
25,2m_temperature,2021-01-01 00:00:00,2021-12-31 23:00:00,36,56,34,84,1.0,year,max,1.0,100,changing_time,0.05751919746398926
26,2m_temperature,2019-01-01 00:00:00,2019-12-31 23:00:00,36,56,34,84,1.0,year,mean,1.0,100,changing_time,0.05988192558288574
27,2m_temperature,2017-01-01 00:00:00,2019-06-30 23:00:00,36,56,34,84,1.0,year,min,2.5,100,changing_time,0.12596392631530762
28,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,36,56,34,84,1.0,year,max,2.5,100,changing_time,0.12639760971069336
29,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,36,56,34,84,1.0,year,mean,2.5,100,changing_time,0.13260269165039062
30,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,36,56,34,84,1.0,year,min,5.0,100,changing_time,0.05951666831970215
31,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,36,56,34,84,1.0,year,max,5.0,100,changing_time,0.05789017677307129
32,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,36,56,34,84,1.0,year,mean,5.0,100,changing_time,0.06019330024719238
33,2m_temperature,2013-01-01 00:00:00,2022-12-31 23:00:00,36,56,34,84,1.0,year,min,10.0,100,changing_time,0.058888912200927734
34,2m_temperature,2005-01-01 00:00:00,2014-12-31 23:00:00,36,56,34,84,1.0,year,max,10.0,100,changing_time,0.058165788650512695
35,2m_temperature,2007-01-01 00:00:00,2016-12-31 23:00:00,36,56,34,84,1.0,year,mean,10.0,100,changing_time,0.06043195724487305
