qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_series_aggregation_method,filter_predicate,filter_value,time_span,area_persent,category,execution_time
0,2m_temperature,2015-01-01 00:00:00,2015-12-31 23:00:00,60,85,-70,-10,1.0,hour,min,min,>,310,1.0,100,changing_time,45.92375636100769
1,2m_temperature,2021-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,1.0,hour,min,min,<,310,1.0,100,changing_time,49.43488645553589
2,2m_temperature,2022-01-01 00:00:00,2022-12-31 23:00:00,60,85,-70,-10,1.0,hour,max,max,>,310,1.0,100,changing_time,46.308802366256714
3,2m_temperature,2017-01-01 00:00:00,2017-12-31 23:00:00,60,85,-70,-10,1.0,hour,max,max,<,310,1.0,100,changing_time,48.90240979194641
4,2m_temperature,2021-01-01 00:00:00,2021-12-31 23:00:00,60,85,-70,-10,1.0,hour,mean,mean,>,310,1.0,100,changing_time,44.39397573471069
5,2m_temperature,2019-01-01 00:00:00,2019-12-31 23:00:00,60,85,-70,-10,1.0,hour,mean,mean,<,310,1.0,100,changing_time,47.399553298950195
6,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,60,85,-70,-10,1.0,hour,min,min,>,310,2.5,100,changing_time,65.51133036613464
7,2m_temperature,2021-01-01 00:00:00,2023-06-30 23:00:00,60,85,-70,-10,1.0,hour,min,min,<,310,2.5,100,changing_time,61.37834072113037
8,2m_temperature,2020-01-01 00:00:00,2022-06-30 23:00:00,60,85,-70,-10,1.0,hour,max,max,>,310,2.5,100,changing_time,67.62522411346436
9,2m_temperature,2015-01-01 00:00:00,2017-06-30 23:00:00,60,85,-70,-10,1.0,hour,max,max,<,310,2.5,100,changing_time,62.29601454734802
10,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,60,85,-70,-10,1.0,hour,mean,mean,>,310,2.5,100,changing_time,63.65121674537659
