qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_span,area_persent,category,execution_time
0,2m_temperature,2021-01-01 00:00:00,2021-12-31 23:00:00,20,40,-60,-10,1.0,hour,min,1.0,100,changing_time,43.564669370651245
1,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,20,40,-60,-10,1.0,hour,max,1.0,100,changing_time,44.31649351119995
2,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,20,40,-60,-10,1.0,hour,mean,1.0,100,changing_time,41.18486547470093
3,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,20,40,-60,-10,1.0,hour,min,2.5,100,changing_time,57.36134123802185
4,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,20,40,-60,-10,1.0,hour,max,2.5,100,changing_time,55.208088874816895
5,2m_temperature,2017-01-01 00:00:00,2019-06-30 23:00:00,20,40,-60,-10,1.0,hour,mean,2.5,100,changing_time,54.087411642074585
6,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,20,40,-60,-10,1.0,hour,min,5.0,100,changing_time,75.4080069065094
7,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,20,40,-60,-10,1.0,hour,max,5.0,100,changing_time,69.1986780166626
8,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,20,40,-60,-10,1.0,hour,mean,5.0,100,changing_time,70.40791416168213
12,2m_temperature,2021-01-01 00:00:00,2021-12-31 23:00:00,20,40,-60,-10,0.25,year,min,1.0,100,changing_time,36.137542724609375
13,2m_temperature,2019-01-01 00:00:00,2019-12-31 23:00:00,20,40,-60,-10,0.25,year,max,1.0,100,changing_time,35.823935985565186
14,2m_temperature,2015-01-01 00:00:00,2015-12-31 23:00:00,20,40,-60,-10,0.25,year,mean,1.0,100,changing_time,36.588823556900024
15,2m_temperature,2021-01-01 00:00:00,2023-06-30 23:00:00,20,40,-60,-10,0.25,year,min,2.5,100,changing_time,36.3751904964447
16,2m_temperature,2017-01-01 00:00:00,2019-06-30 23:00:00,20,40,-60,-10,0.25,year,max,2.5,100,changing_time,36.402406215667725
17,2m_temperature,2018-01-01 00:00:00,2020-06-30 23:00:00,20,40,-60,-10,0.25,year,mean,2.5,100,changing_time,38.22993326187134
18,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,20,40,-60,-10,0.25,year,min,5.0,100,changing_time,37.37275981903076
19,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,20,40,-60,-10,0.25,year,max,5.0,100,changing_time,37.19684839248657
20,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,20,40,-60,-10,0.25,year,mean,5.0,100,changing_time,40.894583225250244
24,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,20,40,-60,-10,1.0,year,min,1.0,100,changing_time,35.63852024078369
25,2m_temperature,2020-01-01 00:00:00,2020-12-31 23:00:00,20,40,-60,-10,1.0,year,max,1.0,100,changing_time,36.094499588012695
26,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,20,40,-60,-10,1.0,year,mean,1.0,100,changing_time,36.41326880455017
27,2m_temperature,2021-01-01 00:00:00,2023-06-30 23:00:00,20,40,-60,-10,1.0,year,min,2.5,100,changing_time,36.158547163009644
28,2m_temperature,2017-01-01 00:00:00,2019-06-30 23:00:00,20,40,-60,-10,1.0,year,max,2.5,100,changing_time,36.337756872177124
29,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,20,40,-60,-10,1.0,year,mean,2.5,100,changing_time,38.03769850730896
30,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,20,40,-60,-10,1.0,year,min,5.0,100,changing_time,37.716551303863525
31,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,20,40,-60,-10,1.0,year,max,5.0,100,changing_time,37.76002478599548
32,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,20,40,-60,-10,1.0,year,mean,5.0,100,changing_time,40.946701526641846
