qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_span,area_persent,category,execution_time
0,2m_temperature,2021-01-01 00:00:00,2021-12-31 23:00:00,20,40,-60,-10,1.0,hour,min,1.0,100,changing_time,23.807903051376343
1,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,20,40,-60,-10,1.0,hour,max,1.0,100,changing_time,9.357808351516724
2,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,20,40,-60,-10,1.0,hour,mean,1.0,100,changing_time,8.654016017913818
3,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,20,40,-60,-10,1.0,hour,min,2.5,100,changing_time,11.425769567489624
4,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,20,40,-60,-10,1.0,hour,max,2.5,100,changing_time,11.33781909942627
5,2m_temperature,2017-01-01 00:00:00,2019-06-30 23:00:00,20,40,-60,-10,1.0,hour,mean,2.5,100,changing_time,10.804343223571777
6,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,20,40,-60,-10,1.0,hour,min,5.0,100,changing_time,27.48140788078308
7,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,20,40,-60,-10,1.0,hour,max,5.0,100,changing_time,14.296103239059448
8,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,20,40,-60,-10,1.0,hour,mean,5.0,100,changing_time,13.79642367362976
9,2m_temperature,2009-01-01 00:00:00,2018-12-31 23:00:00,20,40,-60,-10,1.0,hour,min,10.0,100,changing_time,58.62342357635498
10,2m_temperature,2007-01-01 00:00:00,2016-12-31 23:00:00,20,40,-60,-10,1.0,hour,max,10.0,100,changing_time,58.44389820098877
11,2m_temperature,2012-01-01 00:00:00,2021-12-31 23:00:00,20,40,-60,-10,1.0,hour,mean,10.0,100,changing_time,36.3564989566803
12,2m_temperature,2021-01-01 00:00:00,2021-12-31 23:00:00,20,40,-60,-10,0.25,year,min,1.0,100,changing_time,2.8660192489624023
13,2m_temperature,2019-01-01 00:00:00,2019-12-31 23:00:00,20,40,-60,-10,0.25,year,max,1.0,100,changing_time,2.8612749576568604
14,2m_temperature,2015-01-01 00:00:00,2015-12-31 23:00:00,20,40,-60,-10,0.25,year,mean,1.0,100,changing_time,3.5136890411376953
15,2m_temperature,2021-01-01 00:00:00,2023-06-30 23:00:00,20,40,-60,-10,0.25,year,min,2.5,100,changing_time,26.127418041229248
16,2m_temperature,2017-01-01 00:00:00,2019-06-30 23:00:00,20,40,-60,-10,0.25,year,max,2.5,100,changing_time,4.802517890930176
17,2m_temperature,2018-01-01 00:00:00,2020-06-30 23:00:00,20,40,-60,-10,0.25,year,mean,2.5,100,changing_time,6.412255525588989
18,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,20,40,-60,-10,0.25,year,min,5.0,100,changing_time,7.7195868492126465
19,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,20,40,-60,-10,0.25,year,max,5.0,100,changing_time,7.666343688964844
20,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,20,40,-60,-10,0.25,year,mean,5.0,100,changing_time,9.70995044708252
21,2m_temperature,2009-01-01 00:00:00,2018-12-31 23:00:00,20,40,-60,-10,0.25,year,min,10.0,100,changing_time,43.969608545303345
22,2m_temperature,2012-01-01 00:00:00,2021-12-31 23:00:00,20,40,-60,-10,0.25,year,max,10.0,100,changing_time,14.0586097240448
23,2m_temperature,2006-01-01 00:00:00,2015-12-31 23:00:00,20,40,-60,-10,0.25,year,mean,10.0,100,changing_time,39.35052013397217
24,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,20,40,-60,-10,1.0,year,min,1.0,100,changing_time,2.8954813480377197
25,2m_temperature,2020-01-01 00:00:00,2020-12-31 23:00:00,20,40,-60,-10,1.0,year,max,1.0,100,changing_time,2.7869343757629395
26,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,20,40,-60,-10,1.0,year,mean,1.0,100,changing_time,3.546536684036255
27,2m_temperature,2021-01-01 00:00:00,2023-06-30 23:00:00,20,40,-60,-10,1.0,year,min,2.5,100,changing_time,5.055422782897949
28,2m_temperature,2017-01-01 00:00:00,2019-06-30 23:00:00,20,40,-60,-10,1.0,year,max,2.5,100,changing_time,4.7553417682647705
29,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,20,40,-60,-10,1.0,year,mean,2.5,100,changing_time,6.24296760559082
30,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,20,40,-60,-10,1.0,year,min,5.0,100,changing_time,7.632730484008789
31,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,20,40,-60,-10,1.0,year,max,5.0,100,changing_time,7.80776572227478
32,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,20,40,-60,-10,1.0,year,mean,5.0,100,changing_time,8.53583836555481
33,2m_temperature,2012-01-01 00:00:00,2021-12-31 23:00:00,20,40,-60,-10,1.0,year,min,10.0,100,changing_time,13.596165895462036
34,2m_temperature,2006-01-01 00:00:00,2015-12-31 23:00:00,20,40,-60,-10,1.0,year,max,10.0,100,changing_time,13.534075736999512
35,2m_temperature,2007-01-01 00:00:00,2016-12-31 23:00:00,20,40,-60,-10,1.0,year,mean,10.0,100,changing_time,14.473473310470581
