qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_span,area_persent,category,execution_time
126,2m_temperature,2007-01-01 00:00:00,2011-12-31 23:00:00,-75,-50,39,99,0.25,year,min,5.0,100,changing_temporal_res,148.7556300163269
127,2m_temperature,2006-01-01 00:00:00,2010-12-31 23:00:00,-49,-24,-27,33,0.25,year,max,5.0,100,changing_temporal_res,112.63046717643738
128,2m_temperature,2004-01-01 00:00:00,2008-12-31 23:00:00,61,86,-172,-112,0.25,year,mean,5.0,100,changing_temporal_res,134.86949753761292
129,2m_temperature,2013-01-01 00:00:00,2017-12-31 23:00:00,-37,-12,-9,51,0.25,year,min,5.0,100,changing_temporal_res,104.84415173530579
130,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-63,-38,0,60,0.25,year,max,5.0,100,changing_temporal_res,59.88215517997742
131,2m_temperature,2011-01-01 00:00:00,2015-12-31 23:00:00,20,45,-71,-11,0.25,year,mean,5.0,100,changing_temporal_res,143.4437108039856
132,2m_temperature,2005-01-01 00:00:00,2009-12-31 23:00:00,-70,-45,9,69,0.25,year,min,5.0,100,changing_temporal_res,138.15327763557434
133,2m_temperature,2004-01-01 00:00:00,2008-12-31 23:00:00,-11,14,-169,-109,0.25,year,max,5.0,100,changing_temporal_res,147.46977519989014
134,2m_temperature,2005-01-01 00:00:00,2009-12-31 23:00:00,-47,-22,-136,-76,0.25,year,mean,5.0,100,changing_temporal_res,73.21023464202881
117,2m_temperature,2007-01-01 00:00:00,2011-12-31 23:00:00,-8,17,114,174,0.25,month,min,5.0,100,changing_temporal_res,96.0492525100708
118,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,57,82,97,157,0.25,month,max,5.0,100,changing_temporal_res,149.71980381011963
119,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,36,61,-24,36,0.25,month,mean,5.0,100,changing_temporal_res,97.90100812911987
120,2m_temperature,2004-01-01 00:00:00,2008-12-31 23:00:00,-90,-65,-155,-95,0.25,month,min,5.0,100,changing_temporal_res,144.57328939437866
121,2m_temperature,2006-01-01 00:00:00,2010-12-31 23:00:00,-68,-43,-178,-118,0.25,month,max,5.0,100,changing_temporal_res,103.68269157409668
122,2m_temperature,2007-01-01 00:00:00,2011-12-31 23:00:00,33,58,-150,-90,0.25,month,mean,5.0,100,changing_temporal_res,146.23780822753906
123,2m_temperature,2013-01-01 00:00:00,2017-12-31 23:00:00,-24,1,-104,-44,0.25,month,min,5.0,100,changing_temporal_res,65.5238025188446
124,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-29,-4,-123,-63,0.25,month,max,5.0,100,changing_temporal_res,21.53917360305786
125,2m_temperature,2005-01-01 00:00:00,2009-12-31 23:00:00,22,47,-16,44,0.25,month,mean,5.0,100,changing_temporal_res,67.55443501472473
108,2m_temperature,2006-01-01 00:00:00,2010-12-31 23:00:00,-58,-33,39,99,0.25,day,min,5.0,100,changing_temporal_res,129.92025470733643
109,2m_temperature,2009-01-01 00:00:00,2013-12-31 23:00:00,-76,-51,114,174,0.25,day,max,5.0,100,changing_temporal_res,112.9560489654541
110,2m_temperature,2006-01-01 00:00:00,2010-12-31 23:00:00,-13,12,-19,41,0.25,day,mean,5.0,100,changing_temporal_res,128.4357349872589
111,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,39,64,-140,-80,0.25,day,min,5.0,100,changing_temporal_res,151.21191096305847
112,2m_temperature,2013-01-01 00:00:00,2017-12-31 23:00:00,57,82,71,131,0.25,day,max,5.0,100,changing_temporal_res,124.35930109024048
113,2m_temperature,2007-01-01 00:00:00,2011-12-31 23:00:00,31,56,80,140,0.25,day,mean,5.0,100,changing_temporal_res,131.4450228214264
114,2m_temperature,2011-01-01 00:00:00,2015-12-31 23:00:00,55,80,-28,32,0.25,day,min,5.0,100,changing_temporal_res,64.94986200332642
115,2m_temperature,2013-01-01 00:00:00,2017-12-31 23:00:00,-89,-64,37,97,0.25,day,max,5.0,100,changing_temporal_res,110.52563571929932
116,2m_temperature,2005-01-01 00:00:00,2009-12-31 23:00:00,53,78,-34,26,0.25,day,mean,5.0,100,changing_temporal_res,130.4236650466919
99,2m_temperature,2004-01-01 00:00:00,2008-12-31 23:00:00,48,73,-3,57,0.25,hour,min,5.0,100,changing_temporal_res,54.85790133476257
100,2m_temperature,2010-01-01 00:00:00,2014-12-31 23:00:00,-63,-38,-30,30,0.25,hour,max,5.0,100,changing_temporal_res,143.6186168193817
101,2m_temperature,2012-01-01 00:00:00,2016-12-31 23:00:00,25,50,-5,55,0.25,hour,mean,5.0,100,changing_temporal_res,140.9546823501587
102,2m_temperature,2006-01-01 00:00:00,2010-12-31 23:00:00,13,38,-143,-83,0.25,hour,min,5.0,100,changing_temporal_res,122.21074271202087
103,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-51,-26,-119,-59,0.25,hour,max,5.0,100,changing_temporal_res,94.83153891563416
104,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-31,-6,4,64,0.25,hour,mean,5.0,100,changing_temporal_res,52.18189477920532
105,2m_temperature,2010-01-01 00:00:00,2014-12-31 23:00:00,60,85,-92,-32,0.25,hour,min,5.0,100,changing_temporal_res,154.47204613685608
106,2m_temperature,2009-01-01 00:00:00,2013-12-31 23:00:00,-48,-23,72,132,0.25,hour,max,5.0,100,changing_temporal_res,144.84938955307007
107,2m_temperature,2012-01-01 00:00:00,2016-12-31 23:00:00,44,69,-112,-52,0.25,hour,mean,5.0,100,changing_temporal_res,140.8244071006775
