qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_span,area_persent,category,execution_time
0,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,17,20,-35,-30,0.25,hour,min,5.0,1,changing_area,39.933085203170776
1,2m_temperature,2007-01-01 00:00:00,2011-12-31 23:00:00,-84,-81,-10,-5,0.25,hour,max,5.0,1,changing_area,48.975300788879395
2,2m_temperature,2005-01-01 00:00:00,2009-12-31 23:00:00,-74,-71,-103,-98,0.25,hour,mean,5.0,1,changing_area,48.263264179229736
3,2m_temperature,2006-01-01 00:00:00,2010-12-31 23:00:00,37,52,-121,-96,0.25,hour,min,5.0,25,changing_area,94.32328867912292
4,2m_temperature,2005-01-01 00:00:00,2009-12-31 23:00:00,-13,2,29,54,0.25,hour,max,5.0,25,changing_area,106.9451334476471
5,2m_temperature,2008-01-01 00:00:00,2012-12-31 23:00:00,55,70,140,165,0.25,hour,mean,5.0,25,changing_area,93.17735552787781
6,2m_temperature,2011-01-01 00:00:00,2015-12-31 23:00:00,43,68,48,78,0.25,hour,min,5.0,50,changing_area,88.10634994506836
7,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,2,27,65,95,0.25,hour,max,5.0,50,changing_area,123.72512531280518
8,2m_temperature,2004-01-01 00:00:00,2008-12-31 23:00:00,33,58,-114,-84,0.25,hour,mean,5.0,50,changing_area,130.33076786994934
9,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-16,9,17,77,0.25,hour,min,5.0,100,changing_area,44.44017481803894
10,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,-83,-58,76,136,0.25,hour,max,5.0,100,changing_area,144.2634255886078
11,2m_temperature,2005-01-01 00:00:00,2009-12-31 23:00:00,-21,4,-61,-1,0.25,hour,mean,5.0,100,changing_area,156.30022311210632
12,2m_temperature,2022-01-01 00:00:00,2022-12-31 23:00:00,-81,-56,103,163,0.25,hour,min,1.0,100,changing_time,33.48533630371094
