qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_span,area_persent,category,execution_time
0,2m_temperature,2008-01-01 00:00:00,2012-12-31 23:00:00,-48,-45,-62,-57,0.25,hour,min,5.0,1,changing_area,38.584145307540894
1,2m_temperature,2011-01-01 00:00:00,2015-12-31 23:00:00,-14,-11,-3,2,0.25,hour,max,5.0,1,changing_area,37.73574376106262
2,2m_temperature,2007-01-01 00:00:00,2011-12-31 23:00:00,8,11,-56,-51,0.25,hour,mean,5.0,1,changing_area,37.64630699157715
3,2m_temperature,2013-01-01 00:00:00,2017-12-31 23:00:00,36,51,-88,-63,0.25,hour,min,5.0,25,changing_area,82.64562916755676
4,2m_temperature,2004-01-01 00:00:00,2008-12-31 23:00:00,-41,-26,-118,-93,0.25,hour,max,5.0,25,changing_area,79.22877931594849
5,2m_temperature,2005-01-01 00:00:00,2009-12-31 23:00:00,51,66,-175,-150,0.25,hour,mean,5.0,25,changing_area,82.50672650337219
6,2m_temperature,2008-01-01 00:00:00,2012-12-31 23:00:00,-79,-54,-6,24,0.25,hour,min,5.0,50,changing_area,98.45766806602478
7,2m_temperature,2005-01-01 00:00:00,2009-12-31 23:00:00,-44,-19,32,62,0.25,hour,max,5.0,50,changing_area,51.66808319091797
8,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,-74,-49,47,77,0.25,hour,mean,5.0,50,changing_area,108.4712815284729
9,2m_temperature,2005-01-01 00:00:00,2009-12-31 23:00:00,18,43,-112,-52,0.25,hour,min,5.0,100,changing_area,85.82097935676575
10,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,17,42,83,143,0.25,hour,max,5.0,100,changing_area,111.86472940444946
11,2m_temperature,2012-01-01 00:00:00,2016-12-31 23:00:00,5,30,64,124,0.25,hour,mean,5.0,100,changing_area,77.30433583259583
12,2m_temperature,2006-01-01 00:00:00,2006-12-31 23:00:00,-9,16,-150,-90,0.25,hour,min,1.0,100,changing_time,11.487518548965454
13,2m_temperature,2021-01-01 00:00:00,2021-12-31 23:00:00,-7,18,63,123,0.25,hour,max,1.0,100,changing_time,23.495640993118286
14,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,-26,-1,-165,-105,0.25,hour,mean,1.0,100,changing_time,16.119298696517944
15,2m_temperature,2008-01-01 00:00:00,2010-06-30 23:00:00,16,41,-176,-116,0.25,hour,min,2.5,100,changing_time,32.723390102386475
16,2m_temperature,2020-01-01 00:00:00,2022-06-30 23:00:00,27,52,-12,48,0.25,hour,max,2.5,100,changing_time,56.63341569900513
17,2m_temperature,2008-01-01 00:00:00,2010-06-30 23:00:00,-54,-29,-22,38,0.25,hour,mean,2.5,100,changing_time,56.50269079208374
18,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-85,-60,-6,54,0.25,hour,min,5.0,100,changing_time,110.4003312587738
19,2m_temperature,2010-01-01 00:00:00,2014-12-31 23:00:00,-55,-30,11,71,0.25,hour,max,5.0,100,changing_time,104.30902147293091
20,2m_temperature,2007-01-01 00:00:00,2011-12-31 23:00:00,-33,-8,14,74,0.25,hour,mean,5.0,100,changing_time,87.79972648620605
21,2m_temperature,2011-01-01 00:00:00,2020-12-31 23:00:00,-82,-57,53,113,0.25,hour,min,10.0,100,changing_time,108.9472107887268
22,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,-10,15,77,137,0.25,hour,max,10.0,100,changing_time,193.99203824996948
23,2m_temperature,2006-01-01 00:00:00,2015-12-31 23:00:00,34,59,54,114,0.25,hour,mean,10.0,100,changing_time,225.79936170578003
