sys,t_res,s_res,tr,ta,total_time
Vanilla,hour,0.25,0.5464575290679932,38.02953910827637,38.57599663734436
Vanilla,hour,0.25,0.07909345626831055,7.971653938293457,8.050747394561768
Vanilla,hour,0.25,0.07346916198730469,8.446003675460815,8.51947283744812
Vanilla,hour,0.25,0.07279181480407715,40.89090323448181,40.96369504928589
Vanilla,hour,0.25,0.06687474250793457,15.09235143661499,15.159226179122925
Vanilla,hour,0.25,0.06706643104553223,73.89035487174988,73.95742130279541
Vanilla,hour,0.25,0.06699252128601074,19.842897176742554,19.909889698028564
Vanilla,hour,0.25,0.06723260879516602,36.4478714466095,36.51510405540466
Vanilla,hour,0.25,0.06711030006408691,31.883328199386597,31.950438499450684
Vanilla,hour,0.25,0.06711912155151367,30.361034154891968,30.42815327644348
Vanilla,hour,0.25,0.06746315956115723,70.51155304908752,70.57901620864868
Vanilla,hour,0.25,0.06689906120300293,63.75044012069702,63.817339181900024
Vanilla,year,0.25,0.06767153739929199,35.13342213630676,35.201093673706055
Vanilla,year,0.25,0.10743498802185059,7.494350433349609,7.60178542137146
Vanilla,year,0.25,0.06736087799072266,6.014061450958252,6.081422328948975
Vanilla,year,0.25,0.10603022575378418,11.167654991149902,11.273685216903687
Vanilla,year,0.25,0.10501551628112793,13.61511778831482,13.720133304595947
Vanilla,year,0.25,0.10528779029846191,54.59372305870056,54.69901084899902
Vanilla,year,0.25,0.10714340209960938,14.062676668167114,14.169820070266724
Vanilla,year,0.25,0.10513114929199219,30.824052095413208,30.9291832447052
Vanilla,year,0.25,0.06801676750183105,29.954957962036133,30.022974729537964
Vanilla,year,0.25,0.09677886962890625,21.541550636291504,21.63832950592041
Vanilla,year,0.25,0.10755062103271484,19.54599666595459,19.653547286987305
Vanilla,year,0.25,0.10776042938232422,50.92315888404846,51.030919313430786
Vanilla,month,0.5,0.10553312301635742,29.64581537246704,29.7513484954834
Vanilla,month,0.5,0.09679126739501953,6.77347731590271,6.8702685832977295
Vanilla,month,0.5,0.06694746017456055,3.834930181503296,3.9018776416778564
Vanilla,month,0.5,0.10153770446777344,5.6488213539123535,5.750359058380127
Vanilla,month,0.5,0.09883928298950195,29.69736123085022,29.79620051383972
Vanilla,month,0.5,0.09888315200805664,40.95238494873047,41.051268100738525
Vanilla,month,0.5,0.08723688125610352,10.19886326789856,10.286100149154663
Vanilla,month,0.5,0.09635686874389648,15.169975280761719,15.266332149505615
Vanilla,month,0.5,0.09157109260559082,25.5242280960083,25.61579918861389
Vanilla,month,0.5,0.07480072975158691,21.204585075378418,21.279385805130005
Vanilla,month,0.5,0.08223557472229004,19.089242935180664,19.171478509902954
Vanilla,month,0.5,0.07039999961853027,41.888848304748535,41.959248304367065
Vanilla,hour,1.0,0.06875824928283691,23.32541561126709,23.394173860549927
Vanilla,hour,1.0,0.10677194595336914,5.5647501945495605,5.67152214050293
Vanilla,hour,1.0,0.06695246696472168,3.358314037322998,3.4252665042877197
Vanilla,hour,1.0,0.10683727264404297,7.826147794723511,7.932985067367554
Vanilla,hour,1.0,0.07074260711669922,24.198676347732544,24.269418954849243
Vanilla,hour,1.0,0.0707855224609375,27.25356411933899,27.324349641799927
