sys,t_res,s_res,filter_value,tr,ta,total_time
TDB,hour,0.25,205,42.472110748291016,0,42.472110748291016
TDB,hour,0.25,205,40.70404410362244,0,40.70404410362244
TDB,hour,0.25,205,57.13046979904175,0,57.13046979904175
TDB,hour,0.25,240,39.616305112838745,0,39.616305112838745
TDB,hour,0.25,240,39.48019194602966,0,39.48019194602966
TDB,hour,0.25,240,56.70121788978577,0,56.70121788978577
TDB,hour,0.25,275,54.660057067871094,0,54.660057067871094
TDB,hour,0.25,275,58.55596613883972,0,58.55596613883972
TDB,hour,0.25,275,72.31675982475281,0,72.31675982475281
TDB,year,0.25,205,40.300835371017456,0,40.300835371017456
TDB,year,0.25,205,44.445470571517944,0,44.445470571517944
TDB,year,0.25,205,62.79237461090088,0,62.79237461090088
TDB,year,0.25,240,42.773011922836304,0,42.773011922836304
TDB,year,0.25,240,58.689756631851196,0,58.689756631851196
TDB,year,0.25,240,53.823246002197266,0,53.823246002197266
TDB,year,0.25,275,48.84305024147034,0,48.84305024147034
TDB,year,0.25,275,55.24024748802185,0,55.24024748802185
TDB,year,0.25,275,65.15487051010132,0,65.15487051010132
TDB,month,0.5,205,40.033634662628174,0,40.033634662628174
TDB,month,0.5,205,42.21242809295654,0,42.21242809295654
TDB,month,0.5,205,51.83222222328186,0,51.83222222328186
TDB,month,0.5,240,40.80502486228943,0,40.80502486228943
TDB,month,0.5,240,46.068333864212036,0,46.068333864212036
TDB,month,0.5,240,50.11493444442749,0,50.11493444442749
TDB,month,0.5,275,53.65861248970032,0,53.65861248970032
TDB,month,0.5,275,57.8092474937439,0,57.8092474937439
TDB,month,0.5,275,61.57068085670471,0,61.57068085670471
TDB,hour,1.0,205,87.87483167648315,0,87.87483167648315
TDB,hour,1.0,205,89.18370819091797,0,89.18370819091797
TDB,hour,1.0,205,98.69312047958374,0,98.69312047958374
TDB,hour,1.0,240,88.27818632125854,0,88.27818632125854
TDB,hour,1.0,240,90.86903667449951,0,90.86903667449951
TDB,hour,1.0,240,94.51705741882324,0,94.51705741882324
TDB,hour,1.0,275,101.51748561859131,0,101.51748561859131
TDB,hour,1.0,275,105.47700572013855,0,105.47700572013855
TDB,hour,1.0,275,111.69964981079102,0,111.69964981079102
TDB,year,1.0,205,42.86402630805969,0,42.86402630805969
TDB,year,1.0,205,44.710312843322754,0,44.710312843322754
TDB,year,1.0,205,62.56459999084473,0,62.56459999084473
TDB,year,1.0,240,41.20097732543945,0,41.20097732543945
TDB,year,1.0,240,51.486591815948486,0,51.486591815948486
TDB,year,1.0,240,53.33794569969177,0,53.33794569969177
TDB,year,1.0,275,49.06318140029907,0,49.06318140029907
TDB,year,1.0,275,51.80905318260193,0,51.80905318260193
TDB,year,1.0,275,60.82824683189392,0,60.82824683189392
