sys,t_res,s_res,filter_value,tr,ta,total_time
TDB,hour,0.25,205,40.05642294883728,0,40.05642294883728
TDB,hour,0.25,240,38.979597330093384,0,38.979597330093384
TDB,hour,0.25,310,39.06460094451904,0,39.06460094451904
TDB,hour,0.25,275,38.872424840927124,0,38.872424840927124
TDB,hour,0.25,205,38.842138051986694,0,38.842138051986694
TDB,hour,0.25,240,38.95409965515137,0,38.95409965515137
TDB,hour,0.25,310,38.82929301261902,0,38.82929301261902
TDB,hour,0.25,275,38.754746198654175,0,38.754746198654175
TDB,hour,0.25,205,38.691466093063354,0,38.691466093063354
TDB,hour,0.25,240,38.76217460632324,0,38.76217460632324
TDB,hour,0.25,310,38.745662450790405,0,38.745662450790405
TDB,hour,0.25,275,38.714433908462524,0,38.714433908462524
TDB,hour,1.0,205,86.68986463546753,0,86.68986463546753
TDB,hour,1.0,240,86.97704768180847,0,86.97704768180847
TDB,hour,1.0,310,86.75663614273071,0,86.75663614273071
TDB,hour,1.0,275,86.60217142105103,0,86.60217142105103
TDB,hour,1.0,205,86.73625111579895,0,86.73625111579895
TDB,hour,1.0,240,86.77482986450195,0,86.77482986450195
TDB,hour,1.0,310,86.88251066207886,0,86.88251066207886
TDB,hour,1.0,275,86.75631713867188,0,86.75631713867188
TDB,hour,1.0,205,86.70917248725891,0,86.70917248725891
TDB,hour,1.0,240,86.9037652015686,0,86.9037652015686
TDB,hour,1.0,310,86.76611590385437,0,86.76611590385437
TDB,hour,1.0,275,86.62976050376892,0,86.62976050376892
TDB,month,0.5,205,39.08512353897095,0,39.08512353897095
TDB,month,0.5,240,38.912872314453125,0,38.912872314453125
TDB,month,0.5,310,39.26817560195923,0,39.26817560195923
TDB,month,0.5,275,39.059792041778564,0,39.059792041778564
TDB,month,0.5,205,38.83797240257263,0,38.83797240257263
TDB,month,0.5,240,38.94089150428772,0,38.94089150428772
TDB,month,0.5,310,39.094300746917725,0,39.094300746917725
TDB,month,0.5,275,38.71947479248047,0,38.71947479248047
TDB,month,0.5,205,39.22821235656738,0,39.22821235656738
TDB,month,0.5,240,38.88026022911072,0,38.88026022911072
TDB,month,0.5,310,38.88289999961853,0,38.88289999961853
TDB,month,0.5,275,39.154930114746094,0,39.154930114746094
TDB,year,1.0,205,38.90630340576172,0,38.90630340576172
TDB,year,1.0,240,39.08037543296814,0,39.08037543296814
TDB,year,1.0,310,39.16459131240845,0,39.16459131240845
TDB,year,1.0,275,39.12024974822998,0,39.12024974822998
TDB,year,1.0,205,38.810370445251465,0,38.810370445251465
TDB,year,1.0,240,39.23525333404541,0,39.23525333404541
TDB,year,1.0,310,39.842947244644165,0,39.842947244644165
TDB,year,1.0,275,39.06336569786072,0,39.06336569786072
TDB,year,1.0,205,39.18065571784973,0,39.18065571784973
TDB,year,1.0,240,38.93862771987915,0,38.93862771987915
TDB,year,1.0,310,39.306631088256836,0,39.306631088256836
TDB,year,1.0,275,39.21124339103699,0,39.21124339103699
TDB,year,1.0,205,39.144195795059204,0,39.144195795059204
TDB,year,1.0,240,38.948832750320435,0,38.948832750320435
TDB,year,1.0,310,39.138612270355225,0,39.138612270355225
TDB,year,1.0,275,39.09946584701538,0,39.09946584701538
TDB,year,1.0,205,39.047858238220215,0,39.047858238220215
TDB,year,1.0,240,39.11531186103821,0,39.11531186103821
TDB,year,1.0,310,39.28321695327759,0,39.28321695327759
TDB,year,1.0,275,39.14844012260437,0,39.14844012260437
TDB,year,1.0,205,39.071773052215576,0,39.071773052215576
TDB,year,1.0,240,39.05112648010254,0,39.05112648010254
TDB,year,1.0,310,39.12956786155701,0,39.12956786155701
TDB,year,1.0,275,39.12768912315369,0,39.12768912315369
