sys,t_res,s_res,filter_value,tr,ta,total_time
Polaris,hour,0.25,205,0.9211440086364746,0,0.9211440086364746
Polaris,hour,0.25,240,5.3374342918396,0,5.3374342918396
Polaris,hour,0.25,310,0.10241007804870605,0,0.10241007804870605
Polaris,hour,0.25,275,5.786587953567505,0,5.786587953567505
Polaris,hour,0.25,205,0.10314154624938965,0,0.10314154624938965
Polaris,hour,0.25,240,5.209534645080566,0,5.209534645080566
Polaris,hour,0.25,310,0.1008448600769043,0,0.1008448600769043
Polaris,hour,0.25,275,5.771972179412842,0,5.771972179412842
Polaris,hour,0.25,205,0.10301470756530762,0,0.10301470756530762
Polaris,hour,0.25,240,5.210712432861328,0,5.210712432861328
Polaris,hour,0.25,310,0.10326266288757324,0,0.10326266288757324
Polaris,hour,0.25,275,5.78689432144165,0,5.78689432144165
Polaris,hour,1.0,205,0.10249853134155273,0,0.10249853134155273
Polaris,hour,1.0,240,5.19601845741272,0,5.19601845741272
Polaris,hour,1.0,310,0.10359573364257812,0,0.10359573364257812
Polaris,hour,1.0,275,5.788532495498657,0,5.788532495498657
Polaris,hour,1.0,205,0.10187315940856934,0,0.10187315940856934
Polaris,hour,1.0,240,5.20400071144104,0,5.20400071144104
Polaris,hour,1.0,310,0.1019749641418457,0,0.1019749641418457
Polaris,hour,1.0,275,5.571141719818115,0,5.571141719818115
Polaris,hour,1.0,205,0.10219025611877441,0,0.10219025611877441
Polaris,hour,1.0,240,5.2119691371917725,0,5.2119691371917725
Polaris,hour,1.0,310,0.1011512279510498,0,0.1011512279510498
Polaris,hour,1.0,275,5.790938854217529,0,5.790938854217529
Polaris,month,0.5,205,0.033896446228027344,0,0.033896446228027344
Polaris,month,0.5,240,0.03436613082885742,0,0.03436613082885742
Polaris,month,0.5,310,0.034758806228637695,0,0.034758806228637695
Polaris,month,0.5,275,0.0371243953704834,0,0.0371243953704834
Polaris,month,0.5,205,0.03682661056518555,0,0.03682661056518555
Polaris,month,0.5,240,0.03662872314453125,0,0.03662872314453125
Polaris,month,0.5,310,0.03655385971069336,0,0.03655385971069336
Polaris,month,0.5,275,0.03667950630187988,0,0.03667950630187988
Polaris,month,0.5,205,0.036473989486694336,0,0.036473989486694336
Polaris,month,0.5,240,0.03668403625488281,0,0.03668403625488281
Polaris,month,0.5,310,0.03699445724487305,0,0.03699445724487305
Polaris,month,0.5,275,0.03707575798034668,0,0.03707575798034668
Polaris,year,1.0,205,0.034060001373291016,0,0.034060001373291016
Polaris,year,1.0,240,0.03391408920288086,0,0.03391408920288086
Polaris,year,1.0,310,0.033798933029174805,0,0.033798933029174805
Polaris,year,1.0,275,0.03404402732849121,0,0.03404402732849121
Polaris,year,1.0,205,0.033301353454589844,0,0.033301353454589844
Polaris,year,1.0,240,0.03398871421813965,0,0.03398871421813965
Polaris,year,1.0,310,0.0333554744720459,0,0.0333554744720459
Polaris,year,1.0,275,0.033991098403930664,0,0.033991098403930664
Polaris,year,1.0,205,0.03338432312011719,0,0.03338432312011719
Polaris,year,1.0,240,0.03362894058227539,0,0.03362894058227539
Polaris,year,1.0,310,0.033315420150756836,0,0.033315420150756836
Polaris,year,1.0,275,0.03395533561706543,0,0.03395533561706543
Polaris,year,1.0,205,0.03368830680847168,0,0.03368830680847168
Polaris,year,1.0,240,0.03394317626953125,0,0.03394317626953125
Polaris,year,1.0,310,0.033750057220458984,0,0.033750057220458984
Polaris,year,1.0,275,0.033545494079589844,0,0.033545494079589844
Polaris,year,1.0,205,0.03365778923034668,0,0.03365778923034668
Polaris,year,1.0,240,0.03356361389160156,0,0.03356361389160156
Polaris,year,1.0,310,0.03329825401306152,0,0.03329825401306152
Polaris,year,1.0,275,0.03397774696350098,0,0.03397774696350098
Polaris,year,1.0,205,0.0332789421081543,0,0.0332789421081543
Polaris,year,1.0,240,0.034008026123046875,0,0.034008026123046875
Polaris,year,1.0,310,0.03325343132019043,0,0.03325343132019043
Polaris,year,1.0,275,0.03394579887390137,0,0.03394579887390137
Vanilla,hour,0.25,205,9.812931060791016,0,9.812931060791016
Vanilla,hour,0.25,240,9.80887246131897,0,9.80887246131897
Vanilla,hour,0.25,310,9.696154356002808,0,9.696154356002808
Vanilla,hour,0.25,275,9.846115589141846,0,9.846115589141846
Vanilla,hour,0.25,205,9.831077814102173,0,9.831077814102173
Vanilla,hour,0.25,240,9.803046464920044,0,9.803046464920044
Vanilla,hour,0.25,310,9.832226276397705,0,9.832226276397705
Vanilla,hour,0.25,275,9.701231956481934,0,9.701231956481934
Vanilla,hour,0.25,205,9.749644994735718,0,9.749644994735718
Vanilla,hour,0.25,240,9.83566927909851,0,9.83566927909851
Vanilla,hour,0.25,310,9.810186862945557,0,9.810186862945557
Vanilla,hour,0.25,275,9.815949201583862,0,9.815949201583862
Vanilla,hour,1.0,205,9.743880033493042,0,9.743880033493042
Vanilla,hour,1.0,240,9.811933279037476,0,9.811933279037476
