sys,t_res,s_res,filter_value,tr,ta,total_time
Polaris,year,0.25,205,0.8400654792785645,0,0.8400654792785645
Polaris,year,0.25,240,0.04142332077026367,0,0.04142332077026367
Polaris,year,0.25,310,0.039299726486206055,0,0.039299726486206055
Polaris,year,0.25,275,0.039694786071777344,0,0.039694786071777344
Polaris,year,0.25,205,0.03978753089904785,0,0.03978753089904785
Polaris,year,0.25,240,0.039748191833496094,0,0.039748191833496094
Polaris,year,0.25,310,0.03998589515686035,0,0.03998589515686035
Polaris,year,0.25,275,0.0396580696105957,0,0.0396580696105957
Polaris,year,0.25,205,0.039983510971069336,0,0.039983510971069336
Polaris,year,0.25,240,0.038367509841918945,0,0.038367509841918945
Polaris,year,0.25,310,0.03961610794067383,0,0.03961610794067383
Polaris,year,0.25,275,0.03966522216796875,0,0.03966522216796875
Vanilla,year,0.25,205,9.906001806259155,0,9.906001806259155
Vanilla,year,0.25,240,9.93404769897461,0,9.93404769897461
Vanilla,year,0.25,310,9.95875358581543,0,9.95875358581543
Vanilla,year,0.25,275,9.911397933959961,0,9.911397933959961
Vanilla,year,0.25,205,9.943686723709106,0,9.943686723709106
Vanilla,year,0.25,240,9.979518175125122,0,9.979518175125122
Vanilla,year,0.25,310,9.950946807861328,0,9.950946807861328
Vanilla,year,0.25,275,9.746684789657593,0,9.746684789657593
Vanilla,year,0.25,205,9.967909812927246,0,9.967909812927246
Vanilla,year,0.25,240,9.790946245193481,0,9.790946245193481
Vanilla,year,0.25,310,9.91362476348877,0,9.91362476348877
Vanilla,year,0.25,275,9.960963726043701,0,9.960963726043701
