sys,t_res,s_res,filter_value,tr,ta,total_time
Polaris,hour,0.25,205,0.9205453395843506,0,0.9205453395843506
Polaris,hour,0.25,240,0.11478352546691895,0,0.11478352546691895
Polaris,hour,0.25,245,0.11357641220092773,0,0.11357641220092773
Polaris,hour,0.25,255,0.11632108688354492,0,0.11632108688354492
Polaris,hour,0.25,265,0.11803030967712402,0,0.11803030967712402
Polaris,hour,0.25,275,0.11828422546386719,0,0.11828422546386719
Polaris,hour,0.25,285,7.336501598358154,0,7.336501598358154
Polaris,hour,0.25,295,5.995413541793823,0,5.995413541793823
Polaris,hour,0.25,310,6.089797496795654,0,6.089797496795654
Polaris,hour,0.25,205,0.10227036476135254,0,0.10227036476135254
Polaris,hour,0.25,240,0.10343718528747559,0,0.10343718528747559
Polaris,hour,0.25,245,0.10618710517883301,0,0.10618710517883301
Polaris,hour,0.25,255,0.1047365665435791,0,0.1047365665435791
Polaris,hour,0.25,265,0.10521697998046875,0,0.10521697998046875
Polaris,hour,0.25,275,0.10567212104797363,0,0.10567212104797363
Polaris,hour,0.25,285,5.88690185546875,0,5.88690185546875
Polaris,hour,0.25,295,5.95985221862793,0,5.95985221862793
Polaris,hour,0.25,310,6.074842929840088,0,6.074842929840088
Polaris,hour,0.25,205,0.10113024711608887,0,0.10113024711608887
Polaris,hour,0.25,240,0.10381197929382324,0,0.10381197929382324
Polaris,hour,0.25,245,0.10564684867858887,0,0.10564684867858887
Polaris,hour,0.25,255,0.1069488525390625,0,0.1069488525390625
Polaris,hour,0.25,265,0.1065969467163086,0,0.1065969467163086
Polaris,hour,0.25,275,0.10503387451171875,0,0.10503387451171875
Polaris,hour,0.25,285,5.867948293685913,0,5.867948293685913
Polaris,hour,0.25,295,5.745521306991577,0,5.745521306991577
Polaris,hour,0.25,310,6.0661461353302,0,6.0661461353302
Polaris,year,0.25,205,0.032811880111694336,0,0.032811880111694336
Polaris,year,0.25,240,0.0319521427154541,0,0.0319521427154541
Polaris,year,0.25,245,0.03247499465942383,0,0.03247499465942383
Polaris,year,0.25,255,0.03302717208862305,0,0.03302717208862305
Polaris,year,0.25,265,0.033643245697021484,0,0.033643245697021484
Polaris,year,0.25,275,0.033978939056396484,0,0.033978939056396484
Polaris,year,0.25,285,0.033704519271850586,0,0.033704519271850586
Polaris,year,0.25,295,0.033551931381225586,0,0.033551931381225586
Polaris,year,0.25,310,0.03365445137023926,0,0.03365445137023926
Polaris,year,0.25,205,0.03348040580749512,0,0.03348040580749512
Polaris,year,0.25,240,0.033761024475097656,0,0.033761024475097656
Polaris,year,0.25,245,0.03347134590148926,0,0.03347134590148926
Polaris,year,0.25,255,0.03366994857788086,0,0.03366994857788086
Polaris,year,0.25,265,0.03351593017578125,0,0.03351593017578125
Polaris,year,0.25,275,0.03370213508605957,0,0.03370213508605957
Polaris,year,0.25,285,0.034162282943725586,0,0.034162282943725586
Polaris,year,0.25,295,0.03366208076477051,0,0.03366208076477051
Polaris,year,0.25,310,0.03357434272766113,0,0.03357434272766113
Polaris,year,0.25,205,0.033693790435791016,0,0.033693790435791016
Polaris,year,0.25,240,0.033527374267578125,0,0.033527374267578125
Polaris,year,0.25,245,0.03365826606750488,0,0.03365826606750488
Polaris,year,0.25,255,0.03362107276916504,0,0.03362107276916504
Polaris,year,0.25,265,0.03368377685546875,0,0.03368377685546875
Polaris,year,0.25,275,0.0339505672454834,0,0.0339505672454834
Polaris,year,0.25,285,0.03327035903930664,0,0.03327035903930664
Polaris,year,0.25,295,0.033942461013793945,0,0.033942461013793945
Polaris,year,0.25,310,0.03325295448303223,0,0.03325295448303223
Polaris,month,0.5,205,0.03641033172607422,0,0.03641033172607422
Polaris,month,0.5,240,0.0366511344909668,0,0.0366511344909668
Polaris,month,0.5,245,0.036530494689941406,0,0.036530494689941406
Polaris,month,0.5,255,0.03700399398803711,0,0.03700399398803711
Polaris,month,0.5,265,0.037102699279785156,0,0.037102699279785156
Polaris,month,0.5,275,0.03675508499145508,0,0.03675508499145508
Polaris,month,0.5,285,0.03653526306152344,0,0.03653526306152344
Polaris,month,0.5,295,0.03667140007019043,0,0.03667140007019043
Polaris,month,0.5,310,0.03653240203857422,0,0.03653240203857422
Polaris,month,0.5,205,0.03665518760681152,0,0.03665518760681152
Polaris,month,0.5,240,0.03651714324951172,0,0.03651714324951172
Polaris,month,0.5,245,0.0367283821105957,0,0.0367283821105957
Polaris,month,0.5,255,0.03685569763183594,0,0.03685569763183594
Polaris,month,0.5,265,0.036237239837646484,0,0.036237239837646484
Polaris,month,0.5,275,0.03644275665283203,0,0.03644275665283203
Polaris,month,0.5,285,0.03663778305053711,0,0.03663778305053711
Polaris,month,0.5,295,0.03650355339050293,0,0.03650355339050293
Polaris,month,0.5,310,0.036627769470214844,0,0.036627769470214844
Polaris,month,0.5,205,0.036444902420043945,0,0.036444902420043945
Polaris,month,0.5,240,0.0366053581237793,0,0.0366053581237793
Polaris,month,0.5,245,0.03655695915222168,0,0.03655695915222168
Polaris,month,0.5,255,0.03670930862426758,0,0.03670930862426758
Polaris,month,0.5,265,0.0365138053894043,0,0.0365138053894043
Polaris,month,0.5,275,0.03668379783630371,0,0.03668379783630371
Polaris,month,0.5,285,0.03692317008972168,0,0.03692317008972168
Polaris,month,0.5,295,0.036333560943603516,0,0.036333560943603516
Polaris,month,0.5,310,0.03690195083618164,0,0.03690195083618164
Polaris,hour,1.0,205,0.10485219955444336,0,0.10485219955444336
Polaris,hour,1.0,240,0.10663890838623047,0,0.10663890838623047
Polaris,hour,1.0,245,0.1056067943572998,0,0.1056067943572998
Polaris,hour,1.0,255,0.1054067611694336,0,0.1054067611694336
Polaris,hour,1.0,265,0.10681533813476562,0,0.10681533813476562
Polaris,hour,1.0,275,0.10594940185546875,0,0.10594940185546875
Polaris,hour,1.0,285,5.881976842880249,0,5.881976842880249
Polaris,hour,1.0,295,5.741191387176514,0,5.741191387176514
Polaris,hour,1.0,310,6.105219841003418,0,6.105219841003418
Polaris,hour,1.0,205,0.10307526588439941,0,0.10307526588439941
Polaris,hour,1.0,240,0.10516643524169922,0,0.10516643524169922
Polaris,hour,1.0,245,0.10529017448425293,0,0.10529017448425293
Polaris,hour,1.0,255,0.1051938533782959,0,0.1051938533782959
Polaris,hour,1.0,265,0.1053931713104248,0,0.1053931713104248
Polaris,hour,1.0,275,0.10533022880554199,0,0.10533022880554199
Polaris,hour,1.0,285,5.8895790576934814,0,5.8895790576934814
Polaris,hour,1.0,295,5.7540459632873535,0,5.7540459632873535
Polaris,hour,1.0,310,6.090699911117554,0,6.090699911117554
Polaris,hour,1.0,205,0.10286641120910645,0,0.10286641120910645
Polaris,hour,1.0,240,0.10433053970336914,0,0.10433053970336914
Polaris,hour,1.0,245,0.10560107231140137,0,0.10560107231140137
Polaris,hour,1.0,255,0.10581541061401367,0,0.10581541061401367
Polaris,hour,1.0,265,0.10680294036865234,0,0.10680294036865234
Polaris,hour,1.0,275,0.10584545135498047,0,0.10584545135498047
Polaris,hour,1.0,285,5.889339447021484,0,5.889339447021484
Polaris,hour,1.0,295,5.966768980026245,0,5.966768980026245
Polaris,hour,1.0,310,6.0859010219573975,0,6.0859010219573975
Polaris,year,1.0,205,0.032325029373168945,0,0.032325029373168945
Polaris,year,1.0,240,0.0324552059173584,0,0.0324552059173584
Polaris,year,1.0,245,0.032206058502197266,0,0.032206058502197266
Polaris,year,1.0,255,0.03403043746948242,0,0.03403043746948242
Polaris,year,1.0,265,0.033663272857666016,0,0.033663272857666016
Polaris,year,1.0,275,0.03350830078125,0,0.03350830078125
Polaris,year,1.0,285,0.033702850341796875,0,0.033702850341796875
Polaris,year,1.0,295,0.03350830078125,0,0.03350830078125
Polaris,year,1.0,310,0.033646345138549805,0,0.033646345138549805
Polaris,year,1.0,205,0.03369498252868652,0,0.03369498252868652
Polaris,year,1.0,240,0.03368377685546875,0,0.03368377685546875
Polaris,year,1.0,245,0.03348875045776367,0,0.03348875045776367
Polaris,year,1.0,255,0.03364300727844238,0,0.03364300727844238
Polaris,year,1.0,265,0.033490896224975586,0,0.033490896224975586
Polaris,year,1.0,275,0.033670902252197266,0,0.033670902252197266
Polaris,year,1.0,285,0.03365063667297363,0,0.03365063667297363
Polaris,year,1.0,295,0.03370547294616699,0,0.03370547294616699
Polaris,year,1.0,310,0.03393983840942383,0,0.03393983840942383
Polaris,year,1.0,205,0.03323101997375488,0,0.03323101997375488
Polaris,year,1.0,240,0.03397226333618164,0,0.03397226333618164
Polaris,year,1.0,245,0.03384852409362793,0,0.03384852409362793
Polaris,year,1.0,255,0.03355526924133301,0,0.03355526924133301
Polaris,year,1.0,265,0.03370022773742676,0,0.03370022773742676
Polaris,year,1.0,275,0.033594369888305664,0,0.033594369888305664
Polaris,year,1.0,285,0.0337526798248291,0,0.0337526798248291
Polaris,year,1.0,295,0.03399491310119629,0,0.03399491310119629
Polaris,year,1.0,310,0.033684492111206055,0,0.033684492111206055
Vanilla,hour,0.25,205,14.927667617797852,0,14.927667617797852
Vanilla,hour,0.25,240,15.570600509643555,0,15.570600509643555
Vanilla,hour,0.25,245,9.927658319473267,0,9.927658319473267
Vanilla,hour,0.25,255,9.92110300064087,0,9.92110300064087
Vanilla,hour,0.25,265,9.748262882232666,0,9.748262882232666
Vanilla,hour,0.25,275,9.90770697593689,0,9.90770697593689
Vanilla,hour,0.25,285,9.860813617706299,0,9.860813617706299
Vanilla,hour,0.25,295,9.93246841430664,0,9.93246841430664
Vanilla,hour,0.25,310,9.88951063156128,0,9.88951063156128
Vanilla,hour,0.25,205,9.926061868667603,0,9.926061868667603
Vanilla,hour,0.25,240,9.793444633483887,0,9.793444633483887
Vanilla,hour,0.25,245,9.864884853363037,0,9.864884853363037
Vanilla,hour,0.25,255,9.966410636901855,0,9.966410636901855
