sys,t_res,s_res,filter_value,tr,ta,total_time
TDB,hour,0.25,205,42.472110748291016,0,42.472110748291016
TDB,hour,0.25,205,40.70404410362244,0,40.70404410362244
TDB,hour,0.25,205,57.13046979904175,0,57.13046979904175
TDB,hour,0.25,240,39.616305112838745,0,39.616305112838745
TDB,hour,0.25,240,39.48019194602966,0,39.48019194602966
TDB,hour,0.25,240,56.70121788978577,0,56.70121788978577
TDB,hour,0.25,275,54.660057067871094,0,54.660057067871094
TDB,hour,0.25,275,58.55596613883972,0,58.55596613883972
TDB,hour,0.25,275,72.31675982475281,0,72.31675982475281
TDB,year,0.25,205,40.300835371017456,0,40.300835371017456
TDB,year,0.25,205,44.445470571517944,0,44.445470571517944
TDB,year,0.25,205,62.79237461090088,0,62.79237461090088
TDB,year,0.25,240,42.773011922836304,0,42.773011922836304
TDB,year,0.25,240,58.689756631851196,0,58.689756631851196
TDB,year,0.25,240,53.823246002197266,0,53.823246002197266
TDB,year,0.25,275,48.84305024147034,0,48.84305024147034
TDB,year,0.25,275,55.24024748802185,0,55.24024748802185
TDB,year,0.25,275,65.15487051010132,0,65.15487051010132
TDB,month,0.5,205,40.033634662628174,0,40.033634662628174
TDB,month,0.5,205,42.21242809295654,0,42.21242809295654
TDB,month,0.5,205,51.83222222328186,0,51.83222222328186
TDB,month,0.5,240,40.80502486228943,0,40.80502486228943
TDB,month,0.5,240,46.068333864212036,0,46.068333864212036
TDB,month,0.5,240,50.11493444442749,0,50.11493444442749
TDB,month,0.5,275,53.65861248970032,0,53.65861248970032
TDB,month,0.5,275,57.8092474937439,0,57.8092474937439
TDB,month,0.5,275,61.57068085670471,0,61.57068085670471
TDB,hour,1.0,205,87.87483167648315,0,87.87483167648315
TDB,hour,1.0,205,89.18370819091797,0,89.18370819091797
TDB,hour,1.0,205,98.69312047958374,0,98.69312047958374
TDB,hour,1.0,240,88.27818632125854,0,88.27818632125854
TDB,hour,1.0,240,90.86903667449951,0,90.86903667449951
TDB,hour,1.0,240,94.51705741882324,0,94.51705741882324
TDB,hour,1.0,275,101.51748561859131,0,101.51748561859131
TDB,hour,1.0,275,105.47700572013855,0,105.47700572013855
TDB,hour,1.0,275,111.69964981079102,0,111.69964981079102
TDB,year,1.0,205,42.86402630805969,0,42.86402630805969
TDB,year,1.0,205,44.710312843322754,0,44.710312843322754
TDB,year,1.0,205,62.56459999084473,0,62.56459999084473
TDB,year,1.0,240,41.20097732543945,0,41.20097732543945
TDB,year,1.0,240,51.486591815948486,0,51.486591815948486
TDB,year,1.0,240,53.33794569969177,0,53.33794569969177
TDB,year,1.0,275,49.06318140029907,0,49.06318140029907
TDB,year,1.0,275,51.80905318260193,0,51.80905318260193
TDB,year,1.0,275,60.82824683189392,0,60.82824683189392
Polaris,hour,0.25,240,0.10693097114562988,0,0.10693097114562988
Polaris,hour,0.25,275,7.546438217163086,0,7.546438217163086
Polaris,hour,0.25,275,4.126972198486328,0,4.126972198486328
Polaris,hour,0.25,310,6.144468784332275,0,6.144468784332275
Polaris,hour,0.25,310,0.1034860610961914,0,0.1034860610961914
Polaris,hour,0.25,205,0.10656595230102539,0,0.10656595230102539
Polaris,hour,0.25,205,0.1067657470703125,0,0.1067657470703125
Polaris,hour,0.25,205,0.10635042190551758,0,0.10635042190551758
Polaris,year,0.25,205,0.03314042091369629,0,0.03314042091369629
Polaris,year,0.25,205,0.03265023231506348,0,0.03265023231506348
Polaris,year,0.25,205,0.03388619422912598,0,0.03388619422912598
Polaris,year,0.25,240,0.033864736557006836,0,0.033864736557006836
Polaris,year,0.25,240,0.03392672538757324,0,0.03392672538757324
Polaris,year,0.25,240,0.03445029258728027,0,0.03445029258728027
Polaris,year,0.25,275,0.03392815589904785,0,0.03392815589904785
Polaris,year,0.25,275,0.034210920333862305,0,0.034210920333862305
Polaris,year,0.25,275,0.03401637077331543,0,0.03401637077331543
Polaris,month,0.5,205,0.037139177322387695,0,0.037139177322387695
Polaris,month,0.5,205,0.03660702705383301,0,0.03660702705383301
Polaris,month,0.5,205,0.03745627403259277,0,0.03745627403259277
Polaris,month,0.5,240,0.036536216735839844,0,0.036536216735839844
Polaris,month,0.5,240,0.03724217414855957,0,0.03724217414855957
Polaris,month,0.5,240,0.03679513931274414,0,0.03679513931274414
Polaris,month,0.5,275,0.0370326042175293,0,0.0370326042175293
Polaris,month,0.5,275,0.03656744956970215,0,0.03656744956970215
Polaris,month,0.5,275,0.037030935287475586,0,0.037030935287475586
Polaris,hour,1.0,205,0.10651397705078125,0,0.10651397705078125
Polaris,hour,1.0,205,0.10300946235656738,0,0.10300946235656738
Polaris,hour,1.0,240,0.10381817817687988,0,0.10381817817687988
Polaris,hour,1.0,240,0.10611414909362793,0,0.10611414909362793
Polaris,hour,1.0,240,0.10580182075500488,0,0.10580182075500488
Polaris,hour,1.0,275,5.386521577835083,0,5.386521577835083
Polaris,hour,1.0,275,4.736395597457886,0,4.736395597457886
Polaris,year,1.0,205,0.03271055221557617,0,0.03271055221557617
