sys,t_res,s_res,time_span,tr,ta,total_time
TDB,hour,0.25,1.0,37.50436544418335,0,37.50436544418335
TDB,hour,0.25,1.0,39.210285663604736,0,39.210285663604736
TDB,hour,0.25,1.0,39.50013494491577,0,39.50013494491577
TDB,hour,0.25,2.5,44.56511688232422,0,44.56511688232422
TDB,hour,0.25,2.5,41.687885999679565,0,41.687885999679565
TDB,hour,0.25,2.5,49.25606107711792,0,49.25606107711792
TDB,hour,0.25,5.0,56.45857858657837,0,56.45857858657837
TDB,hour,0.25,5.0,48.69909071922302,0,48.69909071922302
TDB,hour,0.25,5.0,66.84259724617004,0,66.84259724617004
TDB,year,0.25,1.0,39.356603384017944,0,39.356603384017944
TDB,year,0.25,1.0,39.59983015060425,0,39.59983015060425
TDB,year,0.25,1.0,40.51340174674988,0,40.51340174674988
TDB,year,0.25,2.5,47.06882381439209,0,47.06882381439209
TDB,year,0.25,2.5,43.157307386398315,0,43.157307386398315
TDB,year,0.25,2.5,49.1102659702301,0,49.1102659702301
TDB,year,0.25,5.0,51.3492271900177,0,51.3492271900177
TDB,year,0.25,5.0,42.4255530834198,0,42.4255530834198
TDB,year,0.25,5.0,50.057273387908936,0,50.057273387908936
TDB,month,0.5,1.0,36.11565089225769,0,36.11565089225769
TDB,month,0.5,1.0,35.99908709526062,0,35.99908709526062
TDB,month,0.5,1.0,36.917277574539185,0,36.917277574539185
TDB,month,0.5,2.5,37.267212867736816,0,37.267212867736816
TDB,month,0.5,2.5,37.125892162323,0,37.125892162323
TDB,month,0.5,2.5,38.683539390563965,0,38.683539390563965
TDB,month,0.5,5.0,39.75625205039978,0,39.75625205039978
TDB,month,0.5,5.0,40.95485711097717,0,40.95485711097717
TDB,month,0.5,5.0,44.045323610305786,0,44.045323610305786
TDB,hour,1.0,1.0,45.667773723602295,0,45.667773723602295
TDB,hour,1.0,1.0,45.53359627723694,0,45.53359627723694
TDB,hour,1.0,1.0,44.4655237197876,0,44.4655237197876
TDB,hour,1.0,2.5,61.149901151657104,0,61.149901151657104
TDB,hour,1.0,2.5,60.768054723739624,0,60.768054723739624
TDB,hour,1.0,2.5,60.45345997810364,0,60.45345997810364
TDB,hour,1.0,5.0,88.51641702651978,0,88.51641702651978
TDB,hour,1.0,5.0,87.66944241523743,0,87.66944241523743
TDB,hour,1.0,5.0,93.32813811302185,0,93.32813811302185
TDB,year,1.0,1.0,36.75982713699341,0,36.75982713699341
TDB,year,1.0,1.0,36.77770972251892,0,36.77770972251892
TDB,year,1.0,1.0,37.61443328857422,0,37.61443328857422
TDB,year,1.0,2.5,39.61808633804321,0,39.61808633804321
TDB,year,1.0,2.5,38.12501263618469,0,38.12501263618469
TDB,year,1.0,2.5,40.45833706855774,0,40.45833706855774
TDB,year,1.0,5.0,46.149006843566895,0,46.149006843566895
TDB,year,1.0,5.0,43.7746524810791,0,43.7746524810791
TDB,year,1.0,5.0,49.33408975601196,0,49.33408975601196
